class_id,class_name,count,scoreable,top_1_accuracy,top_1_chance,top_1_excess,top_3_accuracy,top_3_chance,top_3_excess,top_5_accuracy,top_5_chance,top_5_excess
111,dirt,441,True,0.47392290249433106,0.08333333333333333,0.39058956916099774,0.8049886621315193,0.25,0.5549886621315193,0.9024943310657596,0.4166666666666667,0.4858276643990929
125,gravel,113,True,0.12389380530973451,0.08333333333333333,0.04056047197640118,0.2743362831858407,0.25,0.02433628318584069,0.4778761061946903,0.4166666666666667,0.0612094395280236
136,mud,16,True,0.25,0.08333333333333333,0.16666666666666669,0.5625,0.25,0.3125,0.75,0.4166666666666667,0.3333333333333333
144,platform,113,True,0.4247787610619469,0.08333333333333333,0.3414454277286136,0.7168141592920354,0.25,0.4668141592920354,0.8053097345132744,0.4166666666666667,0.3886430678466077
146,railing,65,True,0.4153846153846154,0.08333333333333333,0.3320512820512821,0.8461538461538461,0.25,0.5961538461538461,0.9692307692307692,0.4166666666666667,0.5525641025641026
154,sand,212,True,0.6084905660377359,0.08333333333333333,0.5251572327044025,0.8443396226415094,0.25,0.5943396226415094,0.9339622641509434,0.4166666666666667,0.5172955974842768
161,stairs,93,True,0.6129032258064516,0.08333333333333333,0.5295698924731183,0.8172043010752689,0.25,0.5672043010752689,0.9247311827956989,0.4166666666666667,0.5080645161290323
13,stop sign,75,True,0.8266666666666667,0.08333333333333333,0.7433333333333333,0.9066666666666666,0.25,0.6566666666666666,0.9466666666666667,0.4166666666666667,0.53
10,traffic light,637,True,0.6907378335949764,0.08333333333333333,0.607404500261643,0.8320251177394035,0.25,0.5820251177394035,0.9089481946624803,0.4166666666666667,0.49228152799581365
172,wall-concrete,1352,True,0.051775147928994084,0.08333333333333333,-0.031558185404339245,0.2485207100591716,0.25,-0.00147928994082841,0.6568047337278107,0.4166666666666667,0.240138067061144
175,wall-stone,92,True,0.2608695652173913,0.08333333333333333,0.17753623188405798,0.4891304347826087,0.25,0.2391304347826087,0.6956521739130435,0.4166666666666667,0.2789855072463768
177,wall-wood,320,True,0.634375,0.08333333333333333,0.5510416666666667,0.94375,0.25,0.69375,0.99375,0.4166666666666667,0.5770833333333334
,,,,,,,,,,,,
OVERALL,,3529,,0.3646925474638708,0.08333333333333333,0.2813592141305375,0.5857183338056107,0.25,0.33571833380561067,0.799659960328705,0.4166666666666667,0.3829932936620383
