class_id,class_name,count,scoreable,top_1_accuracy,top_1_chance,top_1_excess,top_3_accuracy,top_3_chance,top_3_excess,top_5_accuracy,top_5_chance,top_5_excess
3,cobble,100,True,0.18,0.07142857142857142,0.10857142857142857,0.47,0.21428571428571427,0.25571428571428567,0.75,0.35714285714285715,0.39285714285714285
22,curb,190,True,0.010526315789473684,0.07142857142857142,-0.06090225563909774,0.2789473684210526,0.21428571428571427,0.06466165413533834,0.6894736842105263,0.35714285714285715,0.3323308270676692
41,fence,397,True,0.25692695214105793,0.07142857142857142,0.1854983807124865,0.4256926952141058,0.21428571428571427,0.21140698092839152,0.5113350125944585,0.35714285714285715,0.1541921554516013
24,gravel,471,True,0.4033970276008493,0.07142857142857142,0.3319684561722779,0.8301486199575372,0.21428571428571427,0.6158629056718229,0.9660297239915074,0.35714285714285715,0.6088868668486502
42,guard_rail,67,True,0.44776119402985076,0.07142857142857142,0.3763326226012793,0.746268656716418,0.21428571428571427,0.5319829424307037,0.8059701492537313,0.35714285714285715,0.4488272921108742
45,pole,5971,True,0.7777591693183721,0.07142857142857142,0.7063305978898007,0.8861162284374476,0.21428571428571427,0.6718305141517333,0.9279852621001508,0.35714285714285715,0.5708424049572935
21,sidewalk,167,True,0.0,0.07142857142857142,-0.07142857142857142,0.059880239520958084,0.21428571428571427,-0.1544054747647562,0.10778443113772455,0.35714285714285715,-0.24935842600513258
2,snow,296,True,0.10472972972972973,0.07142857142857142,0.033301158301158304,0.34797297297297297,0.21428571428571427,0.1336872586872587,0.5405405405405406,0.35714285714285715,0.18339768339768342
31,soil,439,True,0.214123006833713,0.07142857142857142,0.14269443540514157,0.7380410022779044,0.21428571428571427,0.5237552879921901,0.8724373576309795,0.35714285714285715,0.5152945004881224
6,street_light,746,True,0.02546916890080429,0.07142857142857142,-0.04595940252776713,0.8176943699731903,0.21428571428571427,0.603408655687476,0.9329758713136729,0.35714285714285715,0.5758330141708157
1,traffic_cone,3,True,0.6666666666666666,0.07142857142857142,0.5952380952380952,0.6666666666666666,0.21428571428571427,0.45238095238095233,1.0,0.35714285714285715,0.6428571428571428
19,traffic_light,420,True,0.38333333333333336,0.07142857142857142,0.3119047619047619,0.7404761904761905,0.21428571428571427,0.5261904761904762,0.9142857142857143,0.35714285714285715,0.5571428571428572
46,traffic_sign,1282,True,0.3408736349453978,0.07142857142857142,0.2694450635168264,0.5015600624024961,0.21428571428571427,0.28727434811678176,0.7215288611544461,0.35714285714285715,0.364386004011589
39,wall,121,True,0.08264462809917356,0.07142857142857142,0.011216056670602131,0.2396694214876033,0.21428571428571427,0.02538370720188904,0.5289256198347108,0.35714285714285715,0.1717827626918536
,,,,,,,,,,,,
OVERALL,,10670,,0.5379568884723523,0.07142857142857142,0.46652831704378095,0.7528584817244611,0.21428571428571427,0.5385727674387468,0.8521087160262418,0.35714285714285715,0.4949658588833847
