Pair: vegetation vs mountain
,Pred: vegetation,Pred: mountain,Pred: Neither
GT: vegetation,1280526,0,64821861
GT: mountain,0,19961,7510538
GT: Neither,29370,210,308830928

Pair: pier vs wharf
,Pred: pier,Pred: wharf,Pred: Neither
GT: pier,0,1160885,1174928
GT: wharf,0,148579,301370
GT: Neither,0,998798,377834192

Pair: pier vs float
,Pred: pier,Pred: float,Pred: Neither
GT: pier,0,0,2335813
GT: float,0,0,120089
GT: Neither,0,0,379162596

Pair: wharf vs float
,Pred: wharf,Pred: float,Pred: Neither
GT: wharf,148579,0,301370
GT: float,54130,0,65959
GT: Neither,2105377,0,378943041

Pair: boat vs buoy
,Pred: boat,Pred: buoy,Pred: Neither
GT: boat,0,0,0
GT: buoy,20645,34788,20843
GT: Neither,2570546,21642,378951948

Pair: buoy vs float
,Pred: buoy,Pred: float,Pred: Neither
GT: buoy,34788,0,40571
GT: float,40,0,120049
GT: Neither,21622,0,381401416

Pair: shore-natural vs shore-artificial
,Pred: shore-natural,Pred: shore-artificial,Pred: Neither
GT: shore-natural,0,1402495,2644031
GT: shore-artificial,20038,3466535,3051174
GT: Neither,87899,150999991,220042076

