class_id,class_name,TP,FP,FN,TN,IoU,F1-Score,AP,AP50,AP75,mIoU,Mean_F1,mAP,mAP50,mAP75,average_runtime,total_runtime,num_images
11,Boat/ship,4528459,3751675,2423790,283978636,0.4230653169809502,0.5945831325275894,0.033944516552012347,0.09500984192778365,0.0156726432382259,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-1,car,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
15,Swimmer,2748,577810,31230,294070772,0.004491752044825986,0.008943332856008436,0.0005947860961253992,0.003840852230824299,0.0,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
14,Buoy,10297,20429,33502,294618332,0.16031948682817462,0.27633679973163366,0.01971322132213221,0.06275627562756275,0.0132013201320132,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-2,building,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-3,piling,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
3,Water,31483312,582077,113888190,148728981,0.21570770799666378,0.3548677146287465,0.11602374193822744,0.18848808940823578,0.14641613752827198,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-4,mountain,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
5,Sky,32566615,1294083,42407299,218414563,0.42700236378306883,0.5984606257428473,0.1217639601984073,0.23189042118497563,0.12912541254125415,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-5,vegetation,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-6,gangway,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-7,bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
17,Float,0,0,232000,294450560,0.0,0.0,0.0,0.0,0.0,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-8,pier,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-9,wharf,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-10,shore-natural,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
-11,shore-artificial,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20509777127228057,0.3055319342478042,0.048673371017817456,0.09699758006323035,0.05073591890662754,0.012518355151346762,2.478634319966659,198
